From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

#归离海峡
3556;1876;sea;7723;-1;-1;-1;-1;;Guili_Strait

#翠玉海峡
6114;6115;sea;7552;-1;-1;-1;-1;;Cuiyu_Strait

#荻花州左近
5994;3438;sea;7723;-1;-1;-1;-1;;
666;2840;sea;7552;-1;-1;-1;-1;;
666;2484;sea;7552;-1;-1;-1;-1;;
3522;2455;sea;7723;-1;-1;-1;-1;;

#渌华池
1994;3369;sea;7552;-1;-1;-1;-1;;

#轻策庄
2018;5471;sea;8142;-1;-1;-1;-1;;
5452;5451;sea;8142;-1;-1;-1;-1;;
2605;5533;sea;8142;-1;-1;-1;-1;;

#岷林
1809;5689;sea;7552;-1;-1;-1;-1;;

#蒙德
2297;3388;sea;8142;-1;-1;-1;-1;;Wind_Dragon_Strait
5123;1659;sea;7807;-1;-1;-1;-1;;
3485;5016;sea;7807;-1;-1;-1;-1;;
3610;2927;sea;7807;-1;-1;-1;-1;;Dandelion_Strait
5630;717;sea;7785;-1;-1;-1;-1;;
5263;5249;sea;8100;-1;-1;-1;-1;;
2438;3075;sea;7785;-1;-1;-1;-1;;
3630;5668;sea;7785;-1;-1;-1;-1;;
#不可通行地区
#龙脊雪山领
283;5838;impassable;-1;-1;-1;-1;-1;;SheerMountain
283;5881;impassable;-1;-1;-1;-1;-1;;SheerMountain
283;3533;impassable;-1;-1;-1;-1;-1;;SheerMountain
283;1800;impassable;-1;-1;-1;-1;-1;;SheerMountain
288;934;impassable;-1;-1;-1;-1;-1;;SheerMountain
288;1800;impassable;-1;-1;-1;-1;-1;;SheerMountain
283;934;impassable;-1;-1;-1;-1;-1;;SheerMountain
2843;1800;impassable;-1;-1;-1;-1;-1;;SheerMountain
2843;3516;impassable;-1;-1;-1;-1;-1;;SheerMountain
2843;2232;impassable;-1;-1;-1;-1;-1;;SheerMountain
3917;2232;impassable;-1;-1;-1;-1;-1;;SheerMountain
189;5881;impassable;-1;-1;-1;-1;-1;;SheerMountain
189;5952;impassable;-1;-1;-1;-1;-1;;SheerMountain
189;211;impassable;-1;-1;-1;-1;-1;;SheerMountain
5946;211;impassable;-1;-1;-1;-1;-1;;SheerMountain
5946;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
5955;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
5955;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
5955;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
2043;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
2043;2862;impassable;-1;-1;-1;-1;-1;;SheerMountain
5951;3684;impassable;-1;-1;-1;-1;-1;;SheerMountain
5911;2448;impassable;-1;-1;-1;-1;-1;;SheerMountain
5882;2448;impassable;-1;-1;-1;-1;-1;;SheerMountain
