From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

# 碧水原 Bishui_Plain
4612;4555;sea;9854;-1;-1;-1;-1;;Bishui_Plain
1635;4578;sea;9854;-1;-1;-1;-1;;Bishui_Plain
4642;6772;sea;10025;-1;-1;-1;-1;;Bishui_Plain
6772;2164;sea;10025;-1;-1;-1;-1;;Bishui_Plain
2164;4591;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4657;4626;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4725;4743;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4760;4725;sea;10025;-1;-1;-1;-1;;Bishui_Plain
233;259;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4697;6772;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4650;4687;sea;10025;-1;-1;-1;-1;;Bishui_Plain
4785;4754;sea;11093;-1;-1;-1;-1;;Bishui_Plain
4785;4765;sea;11093;-1;-1;-1;-1;;Bishui_Plain

# 荻花洲 Dihua_Marsh
4382;4343;sea;8407;-1;-1;-1;-1;;Dihua_Marsh
4441;4389;sea;8407;-1;-1;-1;-1;;Dihua_Marsh
4861;1386;sea;8442;-1;-1;-1;-1;;Dihua_Marsh
4782;1386;sea;8442;-1;-1;-1;-1;;Dihua_Marsh
4800;735;sea;8442;-1;-1;-1;-1;;Dihua_Marsh
4803;2221;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4757;2221;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4882;2490;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4811;4794;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4794;6776;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
6776;4732;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
1920;4941;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4904;4872;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
4904;4915;sea;10325;-1;-1;-1;-1;;Dihua_Marsh
1938;6778;sea;10325;-1;-1;-1;-1;;Dihua_Marsh

# 瑶光滩 Yaoguang_Shoal
5096;6779;sea;9879;-1;-1;-1;-1;;Yaoguang_Shoal
5138;2515;sea;9879;-1;-1;-1;-1;;Yaoguang_Shoal
5136;5143;sea;9879;-1;-1;-1;-1;;Yaoguang_Shoal
764;1215;sea;9879;-1;-1;-1;-1;;Yaoguang_Shoal
1534;5125;sea;8289;-1;-1;-1;-1;;Yaoguang_Shoal
2238;5143;sea;8289;-1;-1;-1;-1;;Yaoguang_Shoal
5125;6780;sea;8289;-1;-1;-1;-1;;Yaoguang_Shoal

# 孤云阁 Guyun_Stone_Forest
5463;5419;sea;9057;-1;-1;-1;-1;;Guyun_Stone_Forest
6781;2007;sea;9057;-1;-1;-1;-1;;Guyun_Stone_Forest
5384;5341;sea;9057;-1;-1;-1;-1;;Guyun_Stone_Forest
5384;5424;sea;9057;-1;-1;-1;-1;;Guyun_Stone_Forest
5519;6782;sea;9772;-1;-1;-1;-1;;Guyun_Stone_Forest
6783;6782;sea;9772;-1;-1;-1;-1;;Guyun_Stone_Forest
1213;2007;sea;10710;-1;-1;-1;-1;;Guyun_Stone_Forest

# 璃月港
5574;1552;sea;10008;-1;-1;-1;-1;;Liyue_Harbor
5574;5585;sea;10008;-1;-1;-1;-1;;Liyue_Harbor

-1;-1;;-1;-1;-1;-1;-1;-1
