0;0;0;0;sea;false;ocean;0
1;136;206;102;land;true;forest;1
2;38;23;215;land;true;jungle;1
3;217;13;121;land;true;urban;1
4;22;153;245;land;false;marsh;1
5;205;162;233;land;false;desert;1
6;251;92;158;land;false;desert;1
7;33;62;161;land;false;plains;1
8;198;46;133;land;false;jungle;1
9;193;237;19;land;false;forest;1
10;255;230;201;land;false;mountain;1
11;145;222;197;land;false;jungle;1
12;167;208;198;land;false;mountain;1
13;97;19;204;land;false;plains;1
14;86;189;98;land;false;mountain;1
15;90;34;242;land;false;plains;1
16;112;3;81;land;false;mountain;1
17;36;87;78;land;true;plains;1
18;22;120;81;land;false;plains;1
19;218;73;150;land;true;desert;1
20;110;17;76;land;false;plains;1
21;194;93;125;land;true;jungle;1
22;18;24;157;land;false;hills;1
23;205;67;158;land;false;hills;1
24;219;130;57;land;false;hills;1
25;141;248;168;land;false;mountain;1
26;136;90;180;land;false;mountain;1
27;22;34;142;land;false;urban;1
28;14;131;55;land;false;mountain;1
29;182;43;177;land;false;jungle;1
30;134;141;245;land;false;plains;1
31;178;125;186;land;false;jungle;1
32;235;75;120;land;true;jungle;1
33;129;160;254;land;false;desert;1
34;147;205;169;land;false;desert;1
35;51;48;20;land;true;mountain;1
36;181;66;27;land;false;plains;1
37;1;225;163;land;false;plains;1
38;28;52;151;land;false;desert;1
39;24;223;142;land;false;mountain;1
40;140;17;215;land;false;desert;1
41;83;183;229;land;true;plains;1
42;199;106;198;land;false;mountain;1
43;134;181;223;land;true;mountain;1
44;237;169;130;land;false;plains;1
45;98;39;96;land;false;forest;1
46;194;223;155;land;false;desert;1
47;249;7;79;land;false;mountain;1
48;113;97;234;land;false;plains;1
49;68;210;63;land;false;desert;1
50;90;163;133;land;false;jungle;1
51;188;97;143;land;true;urban;1
52;47;30;128;land;true;plains;1
53;13;206;145;land;false;desert;1
54;218;215;179;land;false;desert;1
55;194;91;161;land;true;hills;1
56;64;102;77;land;false;plains;1
57;151;65;159;land;false;plains;1
58;172;154;107;land;false;mountain;1
59;183;226;209;land;false;plains;1
60;163;239;131;land;true;plains;1
61;130;111;144;land;false;plains;1
62;59;108;130;land;false;plains;1
63;201;224;124;land;true;mountain;1
64;19;66;39;land;true;plains;1
65;209;173;211;land;false;plains;1
66;98;238;186;land;false;plains;1
67;131;12;247;land;true;desert;1
68;22;229;210;land;false;desert;1
69;14;83;214;land;false;forest;1
70;204;0;31;land;false;plains;1
71;32;61;91;land;true;urban;1
72;110;66;184;land;false;forest;1
73;189;3;63;land;false;mountain;1
74;249;5;203;land;false;plains;1
75;214;156;171;land;true;marsh;1
76;41;47;37;land;true;jungle;1
77;126;12;84;land;false;plains;1
78;76;118;222;land;true;desert;1
79;115;185;253;land;false;plains;1
80;41;66;148;land;true;plains;1
81;16;145;67;land;false;plains;1
82;23;141;247;land;true;forest;1
83;128;193;185;land;false;hills;1
84;139;82;137;land;true;plains;1
85;158;72;88;land;true;plains;1
86;236;61;203;land;false;plains;1
87;94;224;117;land;true;forest;1
88;175;30;51;land;true;plains;1
89;146;230;135;land;false;plains;1
90;187;62;23;land;true;urban;1
91;46;111;65;land;false;plains;1
92;102;150;31;land;false;plains;1
93;120;41;169;land;true;forest;1
94;64;224;190;land;false;plains;1
95;237;92;162;land;false;plains;1
96;6;85;194;land;false;jungle;1
97;206;236;241;land;false;jungle;1
98;20;238;64;land;true;forest;1
99;200;210;152;land;false;forest;1
100;49;183;67;land;true;urban;1
101;88;104;0;land;false;jungle;1
102;212;127;160;land;false;mountain;1
103;164;177;216;land;false;plains;1
104;182;125;132;land;false;mountain;1
105;160;148;183;land;false;hills;1
106;4;231;249;land;true;plains;1
107;103;81;105;land;false;desert;1
108;77;113;63;land;false;plains;1
109;129;198;101;land;true;desert;1
110;160;27;232;land;false;forest;1
111;210;147;68;land;false;hills;1
112;35;120;167;land;true;hills;1
113;62;68;165;land;false;plains;1
114;161;181;127;land;false;hills;1
115;139;2;138;land;false;mountain;1
116;202;40;12;land;true;forest;1
117;151;69;151;land;true;plains;1
118;131;85;164;land;false;hills;1
119;113;127;253;land;false;plains;1
120;58;182;91;land;true;plains;1
121;81;27;150;land;false;urban;1
122;81;172;37;land;false;mountain;1
123;115;169;12;land;true;desert;1
124;30;26;140;land;true;urban;1
125;81;131;161;land;false;jungle;1
126;44;29;178;land;true;jungle;1
127;58;182;104;land;false;plains;1
128;34;184;112;land;false;mountain;1
129;56;1;246;land;false;desert;1
130;150;159;178;land;true;jungle;1
131;23;240;197;land;true;hills;1
132;195;255;156;land;false;hills;1
133;68;40;86;land;false;jungle;1
134;249;98;230;land;true;plains;1
135;141;149;42;land;false;desert;1
136;175;195;46;land;false;plains;1
137;191;229;113;land;false;hills;1
138;76;244;20;land;false;desert;1
139;227;145;26;land;false;mountain;1
140;227;116;113;land;false;hills;1
141;83;97;30;land;false;hills;1
142;86;122;6;land;false;plains;1
143;16;129;171;land;false;mountain;1
144;110;80;193;land;false;plains;1
145;250;159;160;land;true;plains;1
146;184;61;226;land;false;forest;1
147;219;94;102;land;false;hills;1
148;240;223;85;land;false;jungle;1
149;162;24;230;land;false;desert;1
150;223;72;228;land;false;hills;1
151;211;215;49;land;false;urban;1
152;44;65;40;land;true;urban;1
153;185;108;72;land;false;mountain;1
154;217;254;35;land;false;hills;1
155;70;124;6;land;true;urban;1
156;16;123;217;land;false;forest;1
157;194;137;190;land;false;desert;1
158;180;242;214;land;false;plains;1
159;161;87;62;land;false;desert;1
160;245;197;199;land;false;mountain;1
161;115;84;154;land;true;urban;1
162;76;161;109;land;false;plains;1
163;42;31;47;land;false;mountain;1
164;195;236;174;land;true;urban;1
165;9;162;38;land;true;forest;1
166;18;198;62;land;false;hills;1
167;194;195;74;land;false;plains;1
168;31;235;204;land;false;mountain;1
169;121;30;155;land;true;jungle;1
170;85;102;180;land;true;forest;1
171;179;119;96;land;true;plains;1
172;190;22;199;land;false;plains;1
173;54;250;163;land;true;plains;1
174;194;148;61;land;false;desert;1
175;90;244;33;land;false;urban;1
176;137;229;191;land;false;mountain;1
177;52;153;80;land;true;marsh;1
178;99;92;249;land;true;urban;1
179;17;48;105;land;true;plains;1
180;109;29;130;land;false;mountain;1
181;170;0;79;land;true;forest;1
182;127;59;228;land;false;plains;1
183;248;160;248;land;false;hills;1
184;60;149;4;land;false;plains;1
185;147;3;224;land;false;desert;1
186;24;96;29;land;false;desert;1
187;114;252;218;land;false;desert;1
188;247;237;152;land;false;plains;1
189;149;89;231;land;true;plains;1
190;163;97;14;land;false;plains;1
191;228;161;236;land;true;urban;1
192;176;167;69;land;false;plains;1
193;25;121;118;land;true;plains;1
194;140;231;248;land;false;mountain;1
195;173;142;246;land;false;mountain;1
196;15;242;197;land;false;plains;1
197;36;77;120;land;false;plains;1
198;68;71;251;land;false;hills;1
199;199;38;228;land;false;desert;1
200;16;88;119;land;true;jungle;1
201;197;152;45;land;true;urban;1
202;136;82;49;land;true;jungle;1
203;194;145;192;land;true;jungle;1
204;164;80;231;land;false;urban;1
205;215;53;173;land;false;hills;1
